Orthogroup	a99_genome_proteins	c_sorokiniana_genome_proteins	c_variabilis_genome_proteins	c_vulgaris_genome_proteins	m_conductrix_genome_proteins
OG0009984		PRW20964.1			
OG0009985		PRW20991.1			
OG0009986		PRW20992.1			
OG0009987		PRW21003.1			
OG0009988		PRW21020.1			
OG0009989		PRW21046.1			
OG0009990		PRW21047.1			
OG0009991		PRW21053.1			
OG0009992		PRW21061.1			
OG0009993		PRW21074.1			
OG0009994		PRW21086.1			
OG0009995		PRW32479.1			
OG0009996		PRW32481.1			
OG0009997		PRW32483.1			
OG0009998		PRW32497.1			
OG0009999		PRW32507.1			
OG0010000		PRW32519.1			
OG0010001		PRW32528.1			
OG0010002		PRW32552.1			
OG0010003		PRW32592.1			
OG0010004		PRW32593.1			
OG0010005		PRW32619.1			
OG0010006		PRW32624.1			
OG0010007		PRW32628.1			
OG0010008		PRW32639.1			
OG0010009		PRW32653.1			
OG0010010		PRW32655.1			
OG0010011		PRW32660.1			
OG0010012		PRW32672.1			
OG0010013		PRW32683.1			
OG0010014		PRW32687.1			
OG0010015		PRW32840.1			
OG0010016		PRW32842.1			
OG0010017		PRW32843.1			
OG0010018		PRW32873.1			
OG0010019		PRW32880.1			
OG0010020		PRW32900.1			
OG0010021		PRW32933.1			
OG0010022		PRW32951.1			
OG0010023		PRW32965.1			
OG0010024		PRW32987.1			
OG0010025		PRW33000.1			
OG0010026		PRW33015.1			
OG0010027		PRW33043.1			
OG0010028		PRW33044.1			
OG0010029		PRW33045.1			
OG0010030		PRW33051.1			
OG0010031		PRW33052.1			
OG0010032		PRW33059.1			
OG0010033		PRW33075.1			
OG0010034		PRW33080.1			
OG0010035		PRW33109.1			
OG0010036		PRW33113.1			
OG0010037		PRW33153.1			
OG0010038		PRW33191.1			
OG0010039		PRW33198.1			
OG0010040		PRW33228.1			
OG0010041		PRW33246.1			
OG0010042		PRW33287.1			
OG0010043		PRW33301.1			
OG0010044		PRW33315.1			
OG0010045		PRW33516.1			
OG0010046		PRW33570.1			
OG0010047		PRW33590.1			
OG0010048		PRW33604.1			
OG0010049		PRW33614.1			
OG0010050		PRW33622.1			
OG0010051		PRW33667.1			
OG0010052		PRW33668.1			
OG0010053		PRW33705.1			
OG0010054		PRW33718.1			
OG0010055		PRW33720.1			
OG0010056		PRW33752.1			
OG0010057		PRW33757.1			
OG0010058		PRW33765.1			
OG0010059		PRW33768.1			
OG0010060		PRW33777.1			
OG0010061		PRW33805.1			
OG0010062		PRW33827.1			
OG0010063		PRW33835.1			
OG0010064		PRW33863.1			
OG0010065		PRW33879.1			
OG0010066		PRW33915.1			
OG0010067		PRW33936.1			
OG0010068		PRW33946.1			
OG0010069		PRW33947.1			
OG0010070		PRW33987.1			
OG0010071		PRW33993.1			
OG0010072		PRW34009.1			
OG0010073		PRW34035.1			
OG0010074		PRW34074.1			
OG0010075		PRW34083.1			
OG0010076		PRW34087.1			
OG0010077		PRW39059.1			
OG0010078		PRW39077.1			
OG0010079		PRW39091.1			
OG0010080		PRW39122.1			
OG0010081		PRW39150.1			
OG0010082		PRW39160.1			
OG0010083		PRW39170.1			
OG0010084		PRW39179.1			
OG0010085		PRW39199.1			
OG0010086		PRW39257.1			
OG0010087		PRW39316.1			
OG0010088		PRW39379.1			
OG0010089		PRW44260.1			
OG0010090		PRW44265.1			
OG0010091		PRW44274.1			
OG0010092		PRW44289.1			
OG0010093		PRW44294.1			
OG0010094		PRW44306.1			
OG0010095		PRW44311.1			
OG0010096		PRW44329.1			
OG0010097		PRW44346.1			
OG0010098		PRW44358.1			
OG0010099		PRW44410.1			
OG0010100		PRW44416.1			
OG0010101		PRW44439.1			
OG0010102		PRW44457.1			
OG0010103		PRW44502.1			
OG0010104		PRW44513.1			
OG0010105		PRW44554.1			
OG0010106		PRW44557.1			
OG0010107		PRW44566.1			
OG0010108		PRW44574.1			
OG0010109		PRW44578.1			
OG0010110		PRW44598.1			
OG0010111		PRW44599.1			
OG0010112		PRW44600.1			
OG0010113		PRW44601.1			
OG0010114		PRW44602.1			
OG0010115		PRW44619.1			
OG0010116		PRW44852.1			
OG0010117		PRW44915.1			
OG0010118		PRW44934.1			
OG0010119		PRW44957.1			
OG0010120		PRW44994.1			
OG0010121		PRW45003.1			
OG0010122		PRW45004.1			
OG0010123		PRW45020.1			
OG0010124		PRW45021.1			
OG0010125		PRW45036.1			
OG0010126		PRW45040.1			
OG0010127		PRW45069.1			
OG0010128		PRW45098.1			
OG0010129		PRW45099.1			
OG0010130		PRW45101.1			
OG0010131		PRW45108.1			
OG0010132		PRW45113.1			
OG0010133		PRW45150.1			
OG0010134		PRW45167.1			
OG0010135		PRW45187.1			
OG0010136		PRW45192.1			
OG0010137		PRW45194.1			
OG0010138		PRW45206.1			
OG0010139		PRW45209.1			
OG0010140		PRW45214.1			
OG0010141		PRW45215.1			
OG0010142		PRW45225.1			
OG0010143		PRW45262.1			
OG0010144		PRW45334.1			
OG0010145		PRW45340.1			
OG0010146		PRW45342.1			
OG0010147		PRW45347.1			
OG0010148		PRW45351.1			
OG0010149		PRW45361.1			
OG0010150		PRW45393.1			
OG0010151		PRW45406.1			
OG0010152		PRW45414.1			
OG0010153		PRW45435.1			
OG0010154		PRW45442.1			
OG0010155		PRW45461.1			
OG0010156		PRW45469.1			
OG0010157		PRW45486.1			
OG0010158		PRW45508.1			
OG0010159		PRW45554.1			
OG0010160		PRW45563.1			
OG0010161		PRW45580.1			
OG0010162		PRW45609.1			
OG0010163		PRW45616.1			
OG0010164		PRW45634.1			
OG0010165		PRW45656.1			
OG0010166		PRW45662.1			
OG0010167		PRW45667.1			
OG0010168		PRW45696.1			
OG0010169		PRW50805.1			
OG0010170		PRW50811.1			
OG0010171		PRW50825.1			
OG0010172		PRW50839.1			
OG0010173		PRW50847.1			
OG0010174		PRW50865.1			
OG0010175		PRW50872.1			
OG0010176		PRW50895.1			
OG0010177		PRW50903.1			
OG0010178		PRW50906.1			
OG0010179		PRW50912.1			
OG0010180		PRW50922.1			
OG0010181		PRW50927.1			
OG0010182		PRW50935.1			
OG0010183		PRW50962.1			
OG0010184		PRW50963.1			
OG0010185		PRW50968.1			
OG0010186		PRW50995.1			
OG0010187		PRW51039.1			
OG0010188		PRW51052.1			
OG0010189		PRW51090.1			
OG0010190		PRW51100.1			
OG0010191		PRW51130.1			
OG0010192		PRW51132.1			
OG0010193		PRW51164.1			
OG0010194		PRW51176.1			
OG0010195		PRW55893.1			
OG0010196		PRW55904.1			
OG0010197		PRW55906.1			
OG0010198		PRW55922.1			
OG0010199		PRW55927.1			
OG0010200		PRW55935.1			
OG0010201		PRW55948.1			
OG0010202		PRW55954.1			
OG0010203		PRW55992.1			
OG0010204		PRW56000.1			
OG0010205		PRW56034.1			
OG0010206		PRW56040.1			
OG0010207		PRW56068.1			
OG0010208		PRW56072.1			
OG0010209		PRW56075.1			
OG0010210		PRW56096.1			
OG0010211		PRW56121.1			
OG0010212		PRW56136.1			
OG0010213		PRW56137.1			
OG0010214		PRW56149.1			
OG0010215		PRW56159.1			
OG0010216		PRW56162.1			
OG0010217		PRW56193.1			
OG0010218		PRW56201.1			
OG0010219		PRW56226.1			
OG0010220		PRW56260.1			
OG0010221		PRW56318.1			
OG0010222		PRW56321.1			
OG0010223		PRW56336.1			
OG0010224		PRW56349.1			
OG0010225		PRW56350.1			
OG0010226		PRW56355.1			
OG0010227		PRW56395.1			
OG0010228		PRW56482.1			
OG0010229		PRW56491.1			
OG0010230		PRW56499.1			
OG0010231		PRW56500.1			
OG0010232		PRW56507.1			
OG0010233		PRW56543.1			
OG0010234		PRW56565.1			
OG0010235		PRW56572.1			
OG0010236		PRW56574.1			
OG0010237		PRW56660.1			
OG0010238		PRW56697.1			
OG0010239		PRW56765.1			
OG0010240		PRW56825.1			
OG0010241		PRW56835.1			
OG0010242		PRW56839.1			
OG0010243		PRW56840.1			
OG0010244		PRW56856.1			
OG0010245		PRW56859.1			
OG0010246		PRW56885.1			
OG0010247		PRW56911.1			
OG0010248		PRW56932.1			
OG0010249		PRW56989.1			
OG0010250		PRW56995.1			
OG0010251		PRW57004.1			
OG0010252		PRW57013.1			
OG0010253		PRW57025.1			
OG0010254		PRW57067.1			
OG0010255		PRW57077.1			
OG0010256		PRW57091.1			
OG0010257		PRW57119.1			
OG0010258		PRW57120.1			
OG0010259		PRW57175.1			
OG0010260		PRW57183.1			
OG0010261		PRW57214.1			
OG0010262		PRW57215.1			
OG0010263		PRW57216.1			
OG0010264		PRW57234.1			
OG0010265		PRW57264.1			
OG0010266		PRW57268.1			
OG0010267		PRW57329.1			
OG0010268		PRW57336.1			
OG0010269		PRW57341.1			
OG0010270		PRW57350.1			
OG0010271		PRW57354.1			
OG0010272		PRW57378.1			
OG0010273		PRW57381.1			
OG0010274		PRW57396.1			
OG0010275		PRW57418.1			
OG0010276		PRW57446.1			
OG0010277		PRW57463.1			
OG0010278		PRW57464.1			
OG0010279		PRW57545.1			
OG0010280		PRW57553.1			
OG0010281		PRW57583.1			
OG0010282		PRW57590.1			
OG0010283		PRW57594.1			
OG0010284		PRW57608.1			
OG0010285		PRW57619.1			
OG0010286		PRW57626.1			
OG0010287		PRW57627.1			
OG0010288		PRW57655.1			
OG0010289		PRW57688.1			
OG0010290		PRW57759.1			
OG0010291		PRW57813.1			
OG0010292		PRW57836.1			
OG0010293		PRW57853.1			
OG0010294		PRW57857.1			
OG0010295		PRW57861.1			
OG0010296		PRW57879.1			
OG0010297		PRW57892.1			
OG0010298		PRW57899.1			
OG0010299		PRW57908.1			
OG0010300		PRW57909.1			
OG0010301		PRW57913.1			
OG0010302		PRW57940.1			
OG0010303		PRW57957.1			
OG0010304		PRW57964.1			
OG0010305		PRW57982.1			
OG0010306		PRW58006.1			
OG0010307		PRW58035.1			
OG0010308		PRW58062.1			
OG0010309		PRW58074.1			
OG0010310		PRW58179.1			
OG0010311		PRW58180.1			
OG0010312		PRW58207.1			
OG0010313		PRW58209.1			
OG0010314		PRW58217.1			
OG0010315		PRW58228.1			
OG0010316		PRW58231.1			
OG0010317		PRW58248.1			
OG0010318		PRW58256.1			
OG0010319		PRW58265.1			
OG0010320		PRW58288.1			
OG0010321		PRW58302.1			
OG0010322		PRW58307.1			
OG0010323		PRW58309.1			
OG0010324		PRW58353.1			
OG0010325		PRW58383.1			
OG0010326		PRW58411.1			
OG0010327		PRW58443.1			
OG0010328		PRW58445.1			
OG0010329		PRW58461.1			
OG0010330		PRW58462.1			
OG0010331		PRW58493.1			
OG0010332		PRW58505.1			
OG0010333		PRW58510.1			
OG0010334		PRW58525.1			
OG0010335		PRW58526.1			
OG0010336		PRW58536.1			
OG0010337		PRW58565.1			
OG0010338		PRW58568.1			
OG0010339		PRW58570.1			
OG0010340		PRW58599.1			
OG0010341		PRW58613.1			
OG0010342		PRW58619.1			
OG0010343		PRW58652.1			
OG0010344		PRW58659.1			
OG0010345		PRW58662.1			
OG0010346		PRW58688.1			
OG0010347		PRW58720.1			
OG0010348		PRW58724.1			
OG0010349		PRW58742.1			
OG0010350		PRW58763.1			
OG0010351		PRW58769.1			
OG0010352		PRW58773.1			
OG0010353		PRW58808.1			
OG0010354		PRW58818.1			
OG0010355		PRW58865.1			
OG0010356		PRW58876.1			
OG0010357		PRW58879.1			
OG0010358		PRW58903.1			
OG0010359		PRW58904.1			
OG0010360		PRW58930.1			
OG0010361		PRW58955.1			
OG0010362		PRW58957.1			
OG0010363		PRW58973.1			
OG0010364		PRW59005.1			
OG0010365		PRW59013.1			
OG0010366		PRW59021.1			
OG0010367		PRW59025.1			
OG0010368		PRW59026.1			
OG0010369		PRW59056.1			
OG0010370		PRW59071.1			
OG0010371		PRW59074.1			
OG0010372		PRW59089.1			
OG0010373		PRW59091.1			
OG0010374		PRW59099.1			
OG0010375		PRW59105.1			
OG0010376		PRW59108.1			
OG0010377		PRW59144.1			
OG0010378		PRW59156.1			
OG0010379		PRW59218.1			
OG0010380		PRW59241.1			
OG0010381		PRW59256.1			
OG0010382		PRW59261.1			
OG0010383		PRW59279.1			
OG0010384		PRW59297.1			
OG0010385		PRW59320.1			
OG0010386		PRW59364.1			
OG0010387		PRW59365.1			
OG0010388		PRW59369.1			
OG0010389		PRW59381.1			
OG0010390		PRW59416.1			
OG0010391		PRW59427.1			
OG0010392		PRW59433.1			
OG0010393		PRW59435.1			
OG0010394		PRW59466.1			
OG0010395		PRW59480.1			
OG0010396		PRW59593.1			
OG0010397		PRW59603.1			
OG0010398		PRW59613.1			
OG0010399		PRW59615.1			
OG0010400		PRW59622.1			
OG0010401		PRW59660.1			
OG0010402		PRW59718.1			
OG0010403		PRW59724.1			
OG0010404		PRW59745.1			
OG0010405		PRW59754.1			
OG0010406		PRW59770.1			
OG0010407		PRW59779.1			
OG0010408		PRW59782.1			
OG0010409		PRW59791.1			
OG0010410		PRW59795.1			
OG0010411		PRW59810.1			
OG0010412		PRW59839.1			
OG0010413		PRW59846.1			
OG0010414		PRW59874.1			
OG0010415		PRW59877.1			
OG0010416		PRW59880.1			
OG0010417		PRW59932.1			
OG0010418		PRW59961.1			
OG0010419		PRW59969.1			
OG0010420		PRW59986.1			
OG0010421		PRW59989.1			
OG0010422		PRW60023.1			
OG0010423		PRW60048.1			
OG0010424		PRW60084.1			
OG0010425		PRW60090.1			
OG0010426		PRW60094.1			
OG0010427		PRW60140.1			
OG0010428		PRW60159.1			
OG0010429		PRW60189.1			
OG0010430		PRW60245.1			
OG0010431		PRW60248.1			
OG0010432		PRW60271.1			
OG0010433		PRW60272.1			
OG0010434		PRW60290.1			
OG0010435		PRW60305.1			
OG0010436		PRW60338.1			
OG0010437		PRW60341.1			
OG0010438		PRW60342.1			
OG0010439		PRW60382.1			
OG0010440		PRW60386.1			
OG0010441		PRW60400.1			
OG0010442		PRW60419.1			
OG0010443		PRW60427.1			
OG0010444		PRW60446.1			
OG0010445		PRW60474.1			
OG0010446		PRW60479.1			
OG0010447		PRW60502.1			
OG0010448		PRW60511.1			
OG0010449		PRW60567.1			
OG0010450		PRW60574.1			
OG0010451		PRW60582.1			
OG0010452		PRW60589.1			
OG0010453		PRW60600.1			
OG0010454		PRW60601.1			
OG0010455		PRW60624.1			
OG0010456		PRW60651.1			
OG0010457		PRW60652.1			
OG0010458		PRW60658.1			
OG0010459		PRW60665.1			
OG0010460		PRW60686.1			
OG0010461		PRW60690.1			
OG0010462		PRW60691.1			
OG0010463		PRW60693.1			
OG0010464		PRW60719.1			
OG0010465		PRW60780.1			
OG0010466		PRW60805.1			
OG0010467		PRW60823.1			
OG0010468		PRW60849.1			
OG0010469		PRW60893.1			
OG0010470		PRW60905.1			
OG0010471		PRW60912.1			
OG0010472		PRW60976.1			
OG0010473		PRW61030.1			
OG0010474		PRW61040.1			
OG0010475		PRW61058.1			
OG0010476		PRW61063.1			
OG0010477		PRW61087.1			
OG0010478		PRW61105.1			
OG0010479		PRW61119.1			
OG0010480		PRW61202.1			
OG0010481		PRW61214.1			
OG0010482		PRW61231.1			
OG0010483		PRW61233.1			
OG0010484		PRW61246.1			
OG0010485		PRW61248.1			
OG0010486		PRW61296.1			
OG0010487		PRW61328.1			
OG0010488		PRW61332.1			
OG0010489		PRW61374.1			
OG0010490		PRW61383.1			
OG0010491		PRW61407.1			
OG0010492		PRW61465.1			
OG0010493		PRW61521.1			
OG0010494		PRW61525.1			
OG0010495		PRW61548.1			
OG0010496		PRW61551.1			
OG0010497		PRW61574.1			
OG0010498		PRW61603.1			
OG0010499		PRW61607.1			
OG0010500			XP_005842544.1		
OG0010501			XP_005842547.1		
OG0010502			XP_005842548.1		
OG0010503			XP_005842549.1		
OG0010504			XP_005842554.1		
OG0010505			XP_005842555.1		
OG0010506			XP_005842556.1		
OG0010507			XP_005842559.1		
OG0010508			XP_005842560.1		
OG0010509			XP_005842561.1		
OG0010510			XP_005842562.1		
OG0010511			XP_005842565.1		
OG0010512			XP_005842567.1		
OG0010513			XP_005842568.1		
OG0010514			XP_005842569.1		
OG0010515			XP_005842571.1		
OG0010516			XP_005842572.1		
OG0010517			XP_005842576.1		
OG0010518			XP_005842578.1		
OG0010519			XP_005842580.1		
OG0010520			XP_005842583.1		
OG0010521			XP_005842585.1		
OG0010522			XP_005842587.1		
OG0010523			XP_005842590.1		
OG0010524			XP_005842603.1		
OG0010525			XP_005842604.1		
OG0010526			XP_005842612.1		
OG0010527			XP_005842613.1		
OG0010528			XP_005842616.1		
OG0010529			XP_005842617.1		
OG0010530			XP_005842619.1		
OG0010531			XP_005842622.1		
OG0010532			XP_005842624.1		
OG0010533			XP_005842628.1		
OG0010534			XP_005842629.1		
OG0010535			XP_005842632.1		
OG0010536			XP_005842633.1		
OG0010537			XP_005842634.1		
OG0010538			XP_005842640.1		
OG0010539			XP_005842644.1		
OG0010540			XP_005842645.1		
OG0010541			XP_005842653.1		
OG0010542			XP_005842659.1		
OG0010543			XP_005842664.1		
OG0010544			XP_005842668.1		
OG0010545			XP_005842669.1		
OG0010546			XP_005842671.1		
OG0010547			XP_005842680.1		
OG0010548			XP_005842692.1		
OG0010549			XP_005842696.1		
OG0010550			XP_005842705.1		
OG0010551			XP_005842706.1		
OG0010552			XP_005842707.1		
OG0010553			XP_005842709.1		
OG0010554			XP_005842712.1		
OG0010555			XP_005842719.1		
OG0010556			XP_005842723.1		
OG0010557			XP_005842728.1		
OG0010558			XP_005842729.1		
OG0010559			XP_005842733.1		
OG0010560			XP_005842735.1		
OG0010561			XP_005842759.1		
OG0010562			XP_005842760.1		
OG0010563			XP_005842763.1		
OG0010564			XP_005842764.1		
OG0010565			XP_005842769.1		
OG0010566			XP_005842771.1		
OG0010567			XP_005842779.1		
OG0010568			XP_005842795.1		
OG0010569			XP_005842797.1		
OG0010570			XP_005842803.1		
OG0010571			XP_005842847.1		
OG0010572			XP_005842854.1		
OG0010573			XP_005842895.1		
OG0010574			XP_005842896.1		
OG0010575			XP_005842902.1		
OG0010576			XP_005842967.1		
OG0010577			XP_005842976.1		
OG0010578			XP_005842982.1		
OG0010579			XP_005842990.1		
OG0010580			XP_005843046.1		
OG0010581			XP_005843059.1		
OG0010582			XP_005843077.1		
OG0010583			XP_005843081.1		
OG0010584			XP_005843093.1		
OG0010585			XP_005843122.1		
OG0010586			XP_005843146.1		
OG0010587			XP_005843243.1		
OG0010588			XP_005843250.1		
OG0010589			XP_005843265.1		
OG0010590			XP_005843269.1		
OG0010591			XP_005843327.1		
OG0010592			XP_005843356.1		
OG0010593			XP_005843367.1		
OG0010594			XP_005843459.1		
OG0010595			XP_005843463.1		
OG0010596			XP_005843481.1		
OG0010597			XP_005843517.1		
OG0010598			XP_005843530.1		
OG0010599			XP_005843535.1		
OG0010600			XP_005843543.1		
OG0010601			XP_005843550.1		
OG0010602			XP_005843551.1		
OG0010603			XP_005843598.1		
OG0010604			XP_005843612.1		
OG0010605			XP_005843695.1		
OG0010606			XP_005843710.1		
OG0010607			XP_005843717.1		
OG0010608			XP_005843723.1		
OG0010609			XP_005843730.1		
OG0010610			XP_005843740.1		
OG0010611			XP_005843762.1		
OG0010612			XP_005843803.1		
OG0010613			XP_005843838.1		
OG0010614			XP_005843855.1		
OG0010615			XP_005843857.1		
OG0010616			XP_005843884.1		
OG0010617			XP_005843885.1		
OG0010618			XP_005844038.1		
OG0010619			XP_005844091.1		
OG0010620			XP_005844120.1		
OG0010621			XP_005844136.1		
OG0010622			XP_005844159.1		
OG0010623			XP_005844173.1		
OG0010624			XP_005844182.1		
OG0010625			XP_005844183.1		
OG0010626			XP_005844260.1		
OG0010627			XP_005844282.1		
OG0010628			XP_005844306.1		
OG0010629			XP_005844323.1		
OG0010630			XP_005844352.1		
OG0010631			XP_005844353.1		
OG0010632			XP_005844356.1		
OG0010633			XP_005844367.1		
OG0010634			XP_005844379.1		
OG0010635			XP_005844388.1		
OG0010636			XP_005844448.1		
OG0010637			XP_005844450.1		
OG0010638			XP_005844451.1		
OG0010639			XP_005844453.1		
OG0010640			XP_005844494.1		
OG0010641			XP_005844508.1		
OG0010642			XP_005844571.1		
OG0010643			XP_005844585.1		
OG0010644			XP_005844591.1		
OG0010645			XP_005844659.1		
OG0010646			XP_005844695.1		
OG0010647			XP_005844708.1		
OG0010648			XP_005844752.1		
OG0010649			XP_005844771.1		
OG0010650			XP_005844795.1		
OG0010651			XP_005844810.1		
OG0010652			XP_005844816.1		
OG0010653			XP_005844821.1		
OG0010654			XP_005844879.1		
OG0010655			XP_005844887.1		
OG0010656			XP_005844924.1		
OG0010657			XP_005844938.1		
OG0010658			XP_005844953.1		
OG0010659			XP_005845034.1		
OG0010660			XP_005845049.1		
OG0010661			XP_005845074.1		
OG0010662			XP_005845091.1		
OG0010663			XP_005845154.1		
OG0010664			XP_005845203.1		
OG0010665			XP_005845216.1		
OG0010666			XP_005845217.1		
OG0010667			XP_005845228.1		
OG0010668			XP_005845255.1		
OG0010669			XP_005845273.1		
OG0010670			XP_005845291.1		
OG0010671			XP_005845322.1		
OG0010672			XP_005845331.1		
OG0010673			XP_005845348.1		
OG0010674			XP_005845416.1		
OG0010675			XP_005845439.1		
OG0010676			XP_005845445.1		
OG0010677			XP_005845482.1		
OG0010678			XP_005845504.1		
OG0010679			XP_005845551.1		
OG0010680			XP_005845566.1		
OG0010681			XP_005845604.1		
OG0010682			XP_005845611.1		
OG0010683			XP_005845677.1		
OG0010684			XP_005845706.1		
OG0010685			XP_005845742.1		
OG0010686			XP_005845793.1		
OG0010687			XP_005845815.1		
OG0010688			XP_005845853.1		
OG0010689			XP_005845856.1		
OG0010690			XP_005845868.1		
OG0010691			XP_005845899.1		
OG0010692			XP_005845939.1		
OG0010693			XP_005845972.1		
OG0010694			XP_005846040.1		
OG0010695			XP_005846043.1		
OG0010696			XP_005846054.1		
OG0010697			XP_005846056.1		
OG0010698			XP_005846077.1		
OG0010699			XP_005846082.1		
OG0010700			XP_005846093.1		
OG0010701			XP_005846118.1		
OG0010702			XP_005846120.1		
OG0010703			XP_005846129.1		
OG0010704			XP_005846134.1		
OG0010705			XP_005846165.1		
OG0010706			XP_005846281.1		
OG0010707			XP_005846283.1		
OG0010708			XP_005846359.1		
OG0010709			XP_005846466.1		
OG0010710			XP_005846491.1		
OG0010711			XP_005846516.1		
OG0010712			XP_005846558.1		
OG0010713			XP_005846574.1		
OG0010714			XP_005846593.1		
OG0010715			XP_005846613.1		
OG0010716			XP_005846614.1		
OG0010717			XP_005846615.1		
OG0010718			XP_005846658.1		
OG0010719			XP_005846660.1		
OG0010720			XP_005846665.1		
OG0010721			XP_005846680.1		
OG0010722			XP_005846690.1		
OG0010723			XP_005846699.1		
OG0010724			XP_005846711.1		
OG0010725			XP_005846725.1		
OG0010726			XP_005846726.1		
OG0010727			XP_005846733.1		
OG0010728			XP_005846763.1		
OG0010729			XP_005846783.1		
OG0010730			XP_005846816.1		
OG0010731			XP_005846859.1		
OG0010732			XP_005846867.1		
OG0010733			XP_005846901.1		
OG0010734			XP_005846905.1		
OG0010735			XP_005846944.1		
OG0010736			XP_005847058.1		
OG0010737			XP_005847063.1		
OG0010738			XP_005847091.1		
OG0010739			XP_005847140.1		
OG0010740			XP_005847141.1		
OG0010741			XP_005847143.1		
OG0010742			XP_005847144.1		
OG0010743			XP_005847148.1		
OG0010744			XP_005847192.1		
OG0010745			XP_005847200.1		
OG0010746			XP_005847204.1		
OG0010747			XP_005847247.1		
OG0010748			XP_005847256.1		
OG0010749			XP_005847276.1		
OG0010750			XP_005847294.1		
OG0010751			XP_005847296.1		
OG0010752			XP_005847422.1		
OG0010753			XP_005847436.1		
OG0010754			XP_005847460.1		
OG0010755			XP_005847463.1		
OG0010756			XP_005847479.1		
OG0010757			XP_005847491.1		
OG0010758			XP_005847509.1		
OG0010759			XP_005847548.1		
OG0010760			XP_005847575.1		
OG0010761			XP_005847576.1		
OG0010762			XP_005847623.1		
OG0010763			XP_005847654.1		
OG0010764			XP_005847682.1		
OG0010765			XP_005847708.1		
OG0010766			XP_005847717.1		
OG0010767			XP_005847739.1		
OG0010768			XP_005847761.1		
OG0010769			XP_005847791.1		
OG0010770			XP_005847843.1		
OG0010771			XP_005847844.1		
OG0010772			XP_005847919.1		
OG0010773			XP_005848005.1		
OG0010774			XP_005848009.1		
OG0010775			XP_005848013.1		
OG0010776			XP_005848016.1		
OG0010777			XP_005848026.1		
OG0010778			XP_005848132.1		
OG0010779			XP_005848167.1		
OG0010780			XP_005848183.1		
OG0010781			XP_005848184.1		
OG0010782			XP_005848185.1		
OG0010783			XP_005848208.1		
OG0010784			XP_005848217.1		
OG0010785			XP_005848237.1		
OG0010786			XP_005848273.1		
OG0010787			XP_005848277.1		
OG0010788			XP_005848282.1		
OG0010789			XP_005848311.1		
OG0010790			XP_005848328.1		
OG0010791			XP_005848333.1		
OG0010792			XP_005848409.1		
OG0010793			XP_005848429.1		
OG0010794			XP_005848453.1		
OG0010795			XP_005848488.1		
OG0010796			XP_005848516.1		
OG0010797			XP_005848535.1		
OG0010798			XP_005848569.1		
OG0010799			XP_005848653.1		
OG0010800			XP_005848665.1		
OG0010801			XP_005848692.1		
OG0010802			XP_005848696.1		
OG0010803			XP_005848753.1		
OG0010804			XP_005848766.1		
OG0010805			XP_005848773.1		
OG0010806			XP_005848795.1		
OG0010807			XP_005848831.1		
OG0010808			XP_005848857.1		
OG0010809			XP_005848900.1		
OG0010810			XP_005848906.1		
OG0010811			XP_005848912.1		
OG0010812			XP_005848962.1		
OG0010813			XP_005848984.1		
OG0010814			XP_005849013.1		
OG0010815			XP_005849017.1		
OG0010816			XP_005849020.1		
OG0010817			XP_005849050.1		
OG0010818			XP_005849061.1		
OG0010819			XP_005849083.1		
OG0010820			XP_005849091.1		
OG0010821			XP_005849100.1		
OG0010822			XP_005849131.1		
OG0010823			XP_005849138.1		
OG0010824			XP_005849149.1		
OG0010825			XP_005849150.1		
OG0010826			XP_005849195.1		
OG0010827			XP_005849211.1		
OG0010828			XP_005849218.1		
OG0010829			XP_005849255.1		
OG0010830			XP_005849259.1		
OG0010831			XP_005849310.1		
OG0010832			XP_005849311.1		
OG0010833			XP_005849316.1		
OG0010834			XP_005849346.1		
OG0010835			XP_005849403.1		
OG0010836			XP_005849407.1		
OG0010837			XP_005849409.1		
OG0010838			XP_005849432.1		
OG0010839			XP_005849446.1		
OG0010840			XP_005849452.1		
OG0010841			XP_005849454.1		
OG0010842			XP_005849473.1		
OG0010843			XP_005849478.1		
OG0010844			XP_005849490.1		
OG0010845			XP_005849498.1		
OG0010846			XP_005849511.1		
OG0010847			XP_005849522.1		
OG0010848			XP_005849566.1		
OG0010849			XP_005849586.1		
OG0010850			XP_005849593.1		
OG0010851			XP_005849644.1		
OG0010852			XP_005849649.1		
OG0010853			XP_005849689.1		
OG0010854			XP_005849775.1		
OG0010855			XP_005849852.1		
OG0010856			XP_005849906.1		
OG0010857			XP_005849912.1		
OG0010858			XP_005849938.1		
OG0010859			XP_005849985.1		
OG0010860			XP_005849997.1		
OG0010861			XP_005850003.1		
OG0010862			XP_005850004.1		
OG0010863			XP_005850016.1		
OG0010864			XP_005850023.1		
OG0010865			XP_005850089.1		
OG0010866			XP_005850167.1		
OG0010867			XP_005850227.1		
OG0010868			XP_005850229.1		
OG0010869			XP_005850265.1		
OG0010870			XP_005850269.1		
OG0010871			XP_005850284.1		
OG0010872			XP_005850336.1		
OG0010873			XP_005850344.1		
OG0010874			XP_005850383.1		
OG0010875			XP_005850423.1		
OG0010876			XP_005850450.1		
OG0010877			XP_005850461.1		
OG0010878			XP_005850489.1		
OG0010879			XP_005850509.1		
OG0010880			XP_005850529.1		
OG0010881			XP_005850545.1		
OG0010882			XP_005850572.1		
OG0010883			XP_005850616.1		
OG0010884			XP_005850658.1		
OG0010885			XP_005850661.1		
